City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,xianyang,34.3378,108.7026,17.58000000000004,100,100,1.0,CN,1685202693
316,igarka,67.4667,86.5833,8.840000000000032,83,5,4.53,RU,1685202694
317,anori,-3.7728,-61.6442,30.220000000000027,69,85,2.22,BR,1685202695
318,trairi,-3.2778,-39.2689,29.78000000000003,70,70,5.4,BR,1685202696
319,sawakin,19.1059,37.3321,32.08000000000004,63,0,2.32,SD,1685202698
320,mengcheng,33.2579,116.5655,23.5,93,75,1.93,CN,1685202699
321,eberbach,49.4694,8.9928,25.03000000000003,44,0,3.98,DE,1685202700
322,sao filipe,14.8961,-24.4956,24.840000000000032,76,100,2.19,CV,1685202701
323,booue,-0.0921,11.9385,27.210000000000036,88,100,1.22,GA,1685202702
324,ilhabela,-23.7781,-45.3581,26.870000000000005,55,46,1.71,BR,1685202703
325,krasnoselkup,65.7,82.4667,15.0,38,3,3.72,RU,1685202704
326,key west,24.5557,-81.7826,29.0,76,75,4.63,US,1685202600
327,perivolion,39.4206,20.0147,26.75,79,77,7.43,GR,1685202706
328,lompoc,34.6391,-120.4579,15.010000000000048,84,0,2.57,US,1685202707
329,ierapetra,35.01,25.7353,23.410000000000025,50,63,6.71,GR,1685202708
